code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,16,4,32,64,32768,64.273,509.825,1.331,57.041,57.025,0.016,5.901
RS,128,4,20,3,32,64,32768,65.432,500.795,1.799,57.834,57.806,0.028,5.799
RS,128,4,24,2,32,64,32768,63.853,513.179,2.28,53.176,53.144,0.032,8.397
RS,128,4,28,2,32,64,32768,63.319,517.507,2.263,53.859,53.821,0.038,7.197
RS,128,4,32,2,32,64,32768,62.124,527.461,2.391,53.511,53.472,0.039,6.222
RS,128,4,36,1,32,64,32768,80.698,406.057,4.757,64.052,63.98,0.072,11.889
RS,128,4,40,1,32,64,32768,79.079,414.37,4.73,62.596,62.52,0.076,11.753
RS,128,4,44,1,32,64,32768,74.389,440.495,4.747,60.562,60.487,0.075,9.08
RS,128,4,48,1,32,64,32768,78.952,415.037,4.713,64.753,64.678,0.075,9.486
RS,128,4,52,1,32,64,32768,76.269,429.637,4.748,62.036,61.959,0.077,9.485
RS,128,4,56,1,32,64,32768,78.514,417.352,4.864,65.862,65.793,0.069,7.788
RS,128,4,60,1,32,64,32768,77.244,424.214,5.217,62.342,62.264,0.078,9.685
RS,128,4,64,1,32,64,32768,77.11,424.951,5.234,64.505,64.435,0.07,7.371
RS,128,4,8,8,32,64,32768,62.608,523.384,0.803,55.986,55.98,0.006,5.819
