k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,1868.45,1862.02,5.857,0.574,0
128,4,32,4096,21.784,15.357,5.861,0.566,1
16,4,32,512,70.997,69.786,1.122,0.089,0
16,4,32,512,2.015,0.745,1.146,0.124,1
32,4,32,1024,139.17,136.682,2.332,0.156,0
32,4,32,1024,4.109,1.446,2.441,0.222,1
4,4,32,128,12.464,12.148,0.281,0.035,0
4,4,32,128,0.61,0.223,0.338,0.049,1
64,4,32,2048,273.836,269.807,3.745,0.284,0
64,4,32,2048,6.285,2.261,3.716,0.308,1
8,4,32,256,36.042,35.269,0.718,0.055,0
8,4,32,256,1.35,0.517,0.751,0.082,1
