code_type,k,m,x,y,block_size,total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,12,10,32,65536,13.595,4820.6,2.572,0.776,0.756,0.02,10.247
RS,128,4,14,9,32,65536,14.409,4548.27,2.339,2.759,2.737,0.022,9.311
RS,128,4,16,8,32,65536,13.231,4953.22,2.395,3.019,2.994,0.025,7.817
RS,128,4,18,7,32,65536,13.47,4865.33,2.793,3.099,3.073,0.026,7.578
RS,128,4,20,6,32,65536,14.857,4411.12,2.469,2.911,2.888,0.023,9.477
RS,128,4,22,5,32,65536,14.89,4401.34,2.999,1.786,1.75,0.036,10.105
RS,128,4,24,5,32,65536,16.232,4037.46,3.009,3.382,3.342,0.04,9.841
RS,128,4,26,4,32,65536,13.565,4831.26,0.896,3.703,3.666,0.037,8.966
RS,128,4,28,4,32,65536,15.628,4193.5,2.896,3.875,3.838,0.037,8.857
RS,128,4,30,4,32,65536,13.329,4916.8,2.75,3.764,3.728,0.036,6.815
RS,128,4,32,4,32,65536,14.916,4393.67,3.041,4.38,4.351,0.029,7.495
RS,128,4,34,3,32,65536,16.649,3936.33,4.165,4.865,4.821,0.044,7.619
RS,128,4,36,3,32,65536,19.043,3441.47,3.603,5.493,5.446,0.047,9.947
RS,128,4,38,3,32,65536,16.79,3903.28,3.633,5.518,5.471,0.047,7.639
RS,128,4,4,32,32,65536,34.658,1890.93,5.211,15.848,15.84,0.008,13.599
RS,128,4,40,3,32,65536,16.853,3888.68,1.981,5.411,5.363,0.048,9.461
RS,128,4,42,3,32,65536,19.344,3387.92,3.683,5.794,5.748,0.046,9.867
RS,128,4,44,2,32,65536,20.678,3169.36,4.673,7.691,7.628,0.063,8.314
RS,128,4,46,2,32,65536,19.967,3282.22,2.21,7.408,7.348,0.06,10.349
RS,128,4,48,2,32,65536,22.536,2908.06,4.516,7.634,7.571,0.063,10.386
RS,128,4,50,2,32,65536,20.683,3168.59,2.532,7.769,7.702,0.067,10.382
RS,128,4,52,2,32,65536,20.567,3186.46,2.259,7.851,7.788,0.063,10.457
RS,128,4,54,2,32,65536,22.836,2869.85,4.435,7.831,7.77,0.061,10.57
RS,128,4,56,2,32,65536,21.14,3100.09,2.476,8.042,7.981,0.061,10.622
RS,128,4,58,2,32,65536,20.963,3126.27,2.311,8.185,8.123,0.062,10.467
RS,128,4,6,21,32,65536,27.764,2360.47,3.471,11.171,11.162,0.009,13.122
RS,128,4,60,2,32,65536,21.695,3020.79,4.807,8.348,8.285,0.063,8.54
RS,128,4,62,2,32,65536,24.135,2715.39,4.667,8.872,8.81,0.062,10.596
RS,128,4,64,2,32,65536,18.102,3620.37,4.411,5.681,5.62,0.061,8.01
RS,128,4,8,16,32,65536,31.101,2107.2,3.651,18.558,18.546,0.012,8.892
